English,Chinese
Asia/Anadyr,亞洲/ Anadyr
Asia/Barnaul,亞洲/巴爾瑙爾
Asia/Chita,亞洲/赤塔
Asia/Irkutsk,亞洲/伊爾庫茨克
Asia/Kamchatka,亞洲/堪察加半島
Asia/Khandyga,亞洲/坎迪加
Asia/Krasnoyarsk,亞洲/克拉斯諾亞爾斯克
Asia/Magadan,亞洲/馬達加丹
Asia/Novokuznetsk,亞洲/新庫茲涅茨克
Asia/Novosibirsk,亞洲/新西伯利亞
Asia/Omsk,亞洲/鄂木斯克
Asia/Sakhalin,亞洲/薩哈林島
Asia/Srednekolymsk,亞洲/斯雷德涅科林斯克
Asia/Tomsk,亞洲/托木斯克
Asia/Ust-Nera,亞洲/烏斯特-奈拉
Asia/Vladivostok,亞洲/符拉迪沃斯托克（海參div）
Asia/Yakutsk,亞洲/雅庫茨克
Asia/Yekaterinburg,亞洲/葉卡捷琳堡
Europe/Astrakhan,歐洲/阿斯特拉罕
Europe/Kaliningrad,歐洲/加里寧格勒
Europe/Kirov,歐洲/基洛夫
Europe/Moscow,歐洲/莫斯科
Europe/Samara,歐洲/薩馬拉
Europe/Saratov,歐洲/薩拉托夫
Europe/Ulyanovsk,歐洲/烏利亞諾夫斯克
Europe/Volgograd,歐洲/伏爾加格勒
Africa/Kigali,非洲/基加利
Asia/Riyadh,亞洲/利雅得
Pacific/Guadalcanal,太平洋/瓜達爾卡納爾島
Indian/Mahe,印度/馬赫
Africa/Khartoum,非洲/喀土穆
Europe/Stockholm,歐洲/斯德哥爾摩
Asia/Singapore,亞洲/新加坡
Atlantic/St_Helena,大西洋/聖海倫娜
Europe/Ljubljana,歐洲/盧布爾雅那
Arctic/Longyearbyen,北極/朗伊爾城
Europe/Bratislava,歐洲/布拉迪斯拉發
Africa/Freetown,非洲/弗里敦
Europe/San_Marino,歐洲/聖馬力諾
Africa/Dakar,非洲/達喀爾
Africa/Mogadishu,非洲/摩加迪沙
America/Paramaribo,美國/巴拉馬里博
Africa/Juba,非洲/朱巴
Africa/Sao_Tome,非洲/聖保羅
America/El_Salvador,美國/薩爾瓦多
America/Lower_Princes,美國/下王子
Asia/Damascus,亞洲/大馬士革
Africa/Mbabane,非洲/姆巴巴內
America/Grand_Turk,美國/大突厥
Africa/Ndjamena,非洲/恩賈梅納
Indian/Kerguelen,印度/克格倫
Africa/Lome,非洲/洛美
Asia/Bangkok,亞洲/曼谷
Asia/Dushanbe,亞洲/杜尚別
Pacific/Fakaofo,太平洋/法考福
Asia/Dili,亞洲/帝力
Asia/Ashgabat,亞洲/阿什哈巴德
Africa/Tunis,非洲/突尼斯
Pacific/Tongatapu,太平洋/湯加塔普
Europe/Istanbul,歐洲/伊斯坦布爾
America/Port_of_Spain,美國/西班牙港
Pacific/Funafuti,太平洋/富納富提
Asia/Taipei,亞洲/台北
Africa/Dar_es_Salaam,非洲/達累斯薩拉姆
Europe/Kiev,歐洲/基輔
Europe/Simferopol,歐洲/辛菲羅波爾
Europe/Uzhgorod,歐洲/烏日哥羅德
Europe/Zaporozhye,歐洲/扎波羅熱
Africa/Kampala,非洲/坎帕拉
Pacific/Midway,太平洋/中途島
Pacific/Wake,太平洋/甦醒
America/Adak,美國/阿達克
America/Anchorage,美國/安克雷奇
America/Boise,美國/博伊西
America/Chicago,美國/芝加哥
America/Denver,美國/丹佛
America/Detroit,美國/底特律
America/Indiana/Indianapolis,美國/印第安納州/印第安納波利斯
America/Indiana/Knox,美國/印第安納州/諾克斯
America/Indiana/Marengo,美國/印第安納州/馬倫戈
America/Indiana/Petersburg,美國/印第安納州/彼得斯堡
America/Indiana/Tell_City,美洲/印第安納州/特拉城
America/Indiana/Vevay,美國/印第安納州/韋韋
America/Indiana/Vincennes,美國/印第安納州/文森斯
America/Indiana/Winamac,美洲/印第安納州/威納馬克
America/Juneau,美國/朱諾
America/Kentucky/Louisville,美國/肯塔基州/路易斯維爾
America/Kentucky/Monticello,美國/肯塔基州/蒙蒂塞洛
America/Los_Angeles,美國/洛杉磯
America/Menominee,美國/密胺
America/Metlakatla,美國/梅特拉卡特拉
America/New_York,美國/紐約
America/Nome,美國/ Nome
America/North_Dakota/Beulah,美國/北達科他州/比拉
America/North_Dakota/Center,美國/北達科他州/中心
America/North_Dakota/New_Salem,美洲/北達科他州/新薩勒姆
America/Phoenix,美國/鳳凰城
America/Sitka,美國/錫特卡
America/Yakutat,美國/雅庫特
Pacific/Honolulu,太平洋/檀香山
America/Montevideo,美國/蒙得維的亞
Asia/Samarkand,亞洲/撒馬爾罕
Asia/Tashkent,亞洲/塔什幹
Europe/Vatican,歐洲/梵蒂岡
America/St_Vincent,美國/聖文森特
America/Caracas,美國/加拉加斯
America/Tortola,美國/托托拉
America/St_Thomas,美國/聖托馬斯
Asia/Ho_Chi_Minh,亞洲/胡志明市
Pacific/Efate,太平洋/命運
Pacific/Wallis,太平洋/沃利斯
Pacific/Apia,太平洋/阿皮亞
Asia/Aden,亞洲/亞丁
Indian/Mayotte,印度/馬約特島
Africa/Johannesburg,非洲/約翰內斯堡
Africa/Lusaka,非洲/盧薩卡
Africa/Harare,非洲/哈拉雷
Company Profile,公司簡介
Opensips Dispatcher,Opensips調度程序
ACCOUNT_INACTIVE_DELETED,帳戶無效，已刪除
ACCOUNT_EXPIRE,帳戶到期
ALLOTTED_TIMEOUT,分配超時
AUTHENTICATION_FAIL,認證失敗
BEARERCAPABILITY_NOTAUTH,承載能力聲明
BEARERCAPABILITY_NOTAVAIL,承載能力聲明
BEARERCAPABILITY_NOTIMPL,承載能力通知
CALL_REJECTED,拒絕來電
CHAN_NOT_IMPLEMENTED,CHAN未執行
CHANNEL_UNACCEPTABLE,頻道無法接受
DESTINATION_OUT_OF_ORDER,目的地外
DESTINATION_BLOCKED,目的地被封鎖
DID_DESTINATION_NOT_FOUND,未找到目的地
FACILITY_REJECTED,設施被拒絕
FACILITY_NOT_SUBSCRIBED,未訂閱的設施
FACILITY_NOT_IMPLEMENTED,設施未實施
FRAUD_CALL_PER_ACCOUNT,每個帳戶的欺詐電話
FRAUD_CALL_PER_DESTINATION,每個目的地的欺詐呼叫
FRAUD_COST_PER_ACCOUNT,每個帳戶的欺詐成本
FRAUD_COST_PER_DESTINATION,每個目的地的欺詐成本
INVALID_NUMBER_FORMAT,無效的數字格式
INCOMPATIBLE_DESTINATION,目的地不相容
MANAGER_REQUEST,經理要求
MEDIA_TIMEOUT,媒體超時
NO_ROUTE_DESTINATION,沒有路線目的地
NORMAL_CLEARING,正常清除
NETWORK_OUT_OF_ORDER,網絡亂序
NORMAL_UNSPECIFIED,正常的
NORMAL_CIRCUIT_CONGESTION,正常電路擁塞
NORMAL_TEMPORARY_FAILURE,正常臨時故障
NO_SUFFICIENT_FUND,沒有足夠的資金
NO_USER_RESPONSE,沒有用戶回應
NO_ANSWER,沒有答案
NUMBER_CHANGED,號碼已更改
ORIGINATOR_CANCEL,原廠取消
ORIGNATION_RATE_NOT_FOUND,未找到定位率
OUTGOING_CALL_BARRED,撥出電話
PROGRESS_TIMEOUT,進度超時
RECOVERY_ON_TIMER_EXPIRE,計時器到期後恢復
RESELLER_COST_CHEAP,經銷商費用便宜
SERVICE_NOT_IMPLEMENTED,服務未實施
SERVICE_UNAVAILABLE,暫停服務
SUCCESS,成功
SWITCH_CONGESTION,開關擁塞
TERMINATION_RATE_NOT_FOUND,未找到終止率
UNSPECIFIED,未審查
UNALLOCATED_NUMBER,未分配的號碼
USER_BUSY,用戶忙
USER_NOT_REGISTERED,用戶未註冊
REQUESTED_CHAN_UNAVAIL,要求CHAN無效
SUBSCRIBER_ABSENT,訂戶缺席
account_refilled,賬戶充值
create_account,創建帳號
create_sip_device,創建SIP設備
new_invoice,新發票
low_balance,低餘額
signup_confirmation,註冊確認
new_password,新密碼
forgot_password_confirmation,忘記密碼確認
invoice_due_reminder,發票到期提醒
new_archive_table,新檔案表
balance_tranfer,餘額轉移
product_purchase,產品購買
product_release,產品發布
product_renewal_notice,產品更新通知
product_renewed,產品更新
product_commission,產品佣金
cdrs_archive_table_create_success,cdrs存檔表創建成功
cdrs_archive_table_create_fail,cdrs存檔表創建失敗
reset_password,重設密碼
international_low_balance,國際低餘額
account_postcharge,帳戶附加費
Caller Id (CLI Match - If not matched then use random allocated Caller Id),呼叫者ID（CLI匹配-如果不匹配，則使用隨機分配的呼叫者ID）
DID (CLI Match - If not matched then use random allocated DID),DID（CLI匹配-如果不匹配，則使用隨機分配的DID）
ERROR:No Reords found.,錯誤：找不到序號。
Sub Admin,副管理員
Create Account Range For Customer,為客戶創建帳戶範圍
Minimum Account Number,最低帳號
Maximum Account Number,最大帳號
Create Account Range For Reseller,創建轉銷商帳戶範圍
Create Account Range For Provider,為提供商創建帳戶範圍
International Credits,國際學分
Recharge,充值
Basic Details,基本細節
International Balance,國際平衡
InternationalPrefixes,國際前綴
International Prefixes,國際前綴
International Credit Limit,國際信用額度
Create Local Number,創建本地號碼
Local Number Import Process,本地號碼導入過程
Import Local Number,導入本地號碼
Edit Local Number,編輯本地號碼
Mailchimp,Mailchimp
Mailchimp API Key,Mailchimp API密鑰
Mailchimp Audience Id,Mailchimp受眾群體ID
Support Tickets,支持票
Support Ticket,支持票
Create Support Ticket,創建支持票
Open New Ticket,打開新票
Department,部門
Attach more files,附加更多文件
Reply,回复
Submit,提交
High,高
Normal,正常
Low,低
Open,打開
Answered,已回答
Customer-Reply,客戶回复
On-hold,等候接聽
Progress,進展
Ticket Number,票號
Close Support Ticket,關閉支持票
Last Reply,最後回覆
Ticket No,票號
--All--, - 所有 - 
Add Department,新增部門
Department List,部門清單
SMTP Details,SMTP詳細信息
Department Additional Email Address,部門附加電子郵件地址
Department User,部門用戶
Charge Full Amount,收取全額
Based On Utilized Days,基於使用天數
XML Updated Successfully!,XML更新成功！
ACL Reload Successfully!,ACL重新加載成功！
ACL Management,ACL管理
XML,XML格式
XML is Required!,XML是必需的！
Reload ACL,重新加載ACL
Low Balance,低餘額
Current Balance,當前餘額
Trunk Statistics,中繼統計
Create Account Range,創建帳戶範圍
Recharge done successfully!,充值成功完成！
Duplicate Local number found from database,從數據庫找到重複的本地號碼
Country not valid.,國家/地區無效。
Duplicate Local number found from import file.,從導入文件中找到重複的本地號碼。
Local Number Import Error,本地號碼導入錯誤
Local number updated successfully!,本地號碼更新成功！
Local number added successfully!,本地號碼添加成功！
Local number removed successfully!,本地號碼已成功刪除！
Local number forwarding successfully!,本地號碼轉發成功！
Destination Number,目的地號碼
Destination Name,目的地名稱
Add Local Number,添加本地號碼
Added Date,上架日期
Support ticket removed successfully!,支持憑單已成功刪除！
Support ticket generated successfully!,支持票成功生成！
Edit Ticket,編輯票證
Create Department,創建部門
Department added successfully!,部門添加成功！
Department removed successfully!,部門成功移除！
Import Area Code,進口區號
Back to Area Code List,返回區號列表
Alarm added successfully!,警報已成功添加！
Alarm updated successfully!,警報更新成功！
Add Custom Rate,添加自定義費率
Custom Rate Updated Successfully!,自定義費率已成功更新！
Custom Rate Added Successfully!,自定義費率已成功添加！
Custom rate removed successfully!,自定義費率已成功刪除！
Delete Search Record,刪除搜索記錄
Add Prefixes,添加前綴
Register Gateway Information,註冊網關信息
Authentication,認證方式
Please Enter Valid Key,請輸入有效密鑰
Alert,警報
Remote Check Failed,遠程檢查失敗
MD5 Checksum Verification Failed,MD5校驗和驗證失敗
Gateway ragister fail please try again,網關憤怒失敗，請重試
Context,語境
Expires,過期
Frequency,頻率
Ping Frequency,ping頻率
Fails Call In,呼叫失敗
Fails Call Out,呼出失敗
Opensips Devices,Opensips設備
Second,第二
Add Auth Email,添加身份驗證電子郵件
Edit Auth Email,編輯身份驗證電子郵件
Add Authemail,添加Authemail
Auth Email updated successfully!,驗證電子郵件已成功更新！
Auth Email added successfully!,驗證電子郵件已成功添加！
Auth Email removed successfully!,驗證電子郵件已成功刪除！
Auth Email,驗證電子郵件
Authemail added successfully!,Authemail添加成功！
Please Enter Authemail value.,請輸入Authemail值。
Authemail already Exists.,Authemail已經存在。
Authemail removed sucessfully!,Authemail成功刪除！
Auth Email List,驗證電子郵件列表
Auth Mapping,認證映射
Auth,驗證碼
Authemail,Authemail
Faxer,傳真機
This file not avilable for download!,此文件不可下載！
Create FAX,創建傳真
Web2fax removed successfully!,Web2fax刪除成功！
Fax Type,傳真類型
Fax Number,傳真號碼
Fax Format,傳真格式
Fax Sent,傳真已發送
Send Date,發送日期
Files with format are allowed: .pdf,允許使用以下格式的文件：.pdf
Send Fax,發送傳真
Receive,接收
Error,錯誤
Conference List,會議名單
Edit Conference,編輯會議
Create Conference,建立會議
Conference Added Successfully!,會議成功添加！
Conference Updated Successfully!,會議更新成功！
Conference removed successfully!,會議成功刪除！
Conference profiles,會議簡介
Create Conference profiles,創建會議資料
Edit Conference Profile,編輯會議資料
Conference Setting Added Successfully!,會議設置成功添加！
Conference Setting Updated Successfully!,會議設置成功更新！
Conference Profile Removed Successfully!,會議資料已成功刪除！
Conference Profiles Added Successfully!,會議簡介已成功添加！
Conference Profiles Updated Successfully!,會議簡介已成功更新！
Conference profiles removed successfully!,會議配置文件已成功刪除！
Conference controls List,會議控件列表
Edit Conference Controls,編輯會議控件
Conference Controls Removed Successfully!,會議控件已成功刪除！
Conference Controls Added Successfully!,會議控件已成功添加！
Conference Controls Updated Successfully!,會議控件已成功更新！
Pin Number,針號
Duration (Second),持續時間（第二）
Greeting,問候語
Create Conference Controls,創建會議控件
Controls Name,控件名稱
Data,數據
Domains,域
Edit Domains,編輯網域
Domain Updated Successfully!,域已成功更新！
Please enter proper domain value.,請輸入正確的域名。
Domain name,域名
Edit Domain,編輯網域
Feature Code,功能碼
Feature code removed successfully!,功能代碼已成功刪除！
Feature code is already exist in system,系統中已經存在功能代碼
Pickup Group,接送組
Create Pickup Group,創建代答組
Edit Pickup Group,編輯代答組
Pickup group updated successfully!,代答組已成功更新！
Pickup group added successfully!,代答組已成功添加！
Pickup group removed successfully!,代答組已成功刪除！
Feature,特徵
IVR List,IVR列表
Create IVR,創建IVR
Edit IVR,編輯IVR
Ivr added successfully!,IVR已成功添加！
Ivr updated successfully!,IVR更新成功！
Ivr removed successfully!,IVR成功移除！
Caller ID Name Prefix,來電顯示名稱前綴
Options,選件
Advance,提前
Add More,添加更多
Ring Back,回電
Invalid Retries,重試無效
Timeout,超時
Caller ID Number Prefix,來電顯示號碼前綴
Invalid Message,無效訊息
Welcome Greeting,歡迎辭
Direct Dial,直撥
Create Queue,創建隊列
Edit Queue,編輯隊列
Queue Added Successfully!,隊列添加成功！
Queue Updated Successfully!,隊列更新成功！
Queue removed successfully!,隊列已成功刪除！
Agent Dial Number,座席撥號號碼
Queues,s列
Queue,隊列
Edit Recording,編輯錄音
Create Recording,創建錄音
Recording Added Successfully!,錄製已成功添加！
Recording deleted successfully!,錄音刪除成功！
Recording Information,記錄信息
to create a recording,創建錄音
Dial,撥號
Ring Group,環組
Ring Group Add,環組添加
Edit Ring Group,編輯鈴聲群組
Create Ringgroup,創建環組
Ring group added successfully!,環組添加成功！
Ring group updated successfully!,鈴聲群組更新成功！
Ring group deleted successfully!,環組刪除成功！
Ring Group Information,環組信息
Do you want create sip devices?,您要創建SIP設備嗎？
Sip device Count,飲酒器數量
Next,下一個
Basic Settings,基本設置
Ring Strategy,環網策略
Sequence,序列
Simultaneous,同時
Delay (Seconds),延遲（秒）
Timeout (Seconds),超時（秒）
Prompt,提示
Announcement,公告
CID Name Prefix,CID名稱前綴
CID Number Prefix,CID號碼前綴
Call Recording,通話錄音
Forcefully Enable,強制啟用
Forcefully Disable,強制禁用
Skip busy,跳過忙
No Answer Call Type,無人接聽電話類型
Call Routing,呼叫路由
Enabled,已啟用
Disabled,殘障人士
Time Conditions List,時間條件列表
Create Time Conditions,創建時間條件
Edit Time Conditions,編輯時間條件
Time Conditions Added Successfully!,時間條件已成功添加！
Time Conditions Updated Successfully!,時間條件已成功更新！
Time Conditions removed successfully!,時間條件已成功刪除！
Failover Condition,故障轉移條件
Start Hour,開始時間
Week day,星期幾
Month day,月日
End Hour,結束時間
Jan,一月
Feb,二月
Mar,三月
Apr,四月
Jun,君
Jul,七月
Aug,八月
Sep,九月
Oct,十月
Nov,十一月
Dec,十二月
Sunday,星期日
Monday,星期一
Tuesday,星期二
Wednesday,星期三
Thursday,星期四
Friday,星期五
Saturday,星期六
Extensions Destination,擴展目的地
Extensions Call Type,分機呼叫類型
Ignore Busy,忽略忙
Do Not Disturb,請勿打擾
Pickup Group List,代答組列表
Allow Pickup Group List,允許代答組列表
Not Registered,沒有註冊
Call Waiting,呼叫等待
On Busy,忙碌中
No Answer,沒有答案
Destinations,目的地
Follow Me,跟著我
Conference Profile,會議簡介
Conference Controls,會議控制
Conference,會議
Time Conditions,時間條件
RingGroup,環集團
IVR,IVR
Advance Settings,進階設定
Agent Back-Tone,座席回音
Customer Back-Tone,客戶回音
Time Condition,時間條件
LAST FTP PROCESS,最後的FTP過程
Group Name,組名
Ported Number List,移植號碼列表
Import Ported Number,導入端口號
has been uploaded successfully!,已成功上傳！
Destination From,目的地來自
Destination To,目的地
Routing Label,路由標籤
Number From,號碼來自
Participant,參加者
Number To,號碼至
File must be in the following format(.gz):,文件必須採用以下格式（.gz）：
Create Schedule Report,創建時間表報告
Schedule Report,進度報告
Schedule Report added successfully!,進度報告已成功添加！
Schedule Report has been deleted !,時間表報告已刪除！
Email ID,電子郵件ID
Filters,篩選器
Unique ID,唯一身份
Call Start,通話開始
Recurring Type,重複類型
Field List,欄位清單
Report Description,報告說明
Are you sure you want to close?,您確定要關閉嗎？
Alarm Name,警報名稱
Alarm Type,警報類型
Alarm On,警報開啟
Threshold Value,門檻值
Period,期
Last Triggered Date,最後觸發日期
Create Alarm,創建警報
Ping Type,平型
Freeswitch,自由開關
Console,安慰
Period (In Seconds),週期（秒）
Edit Alarm,編輯鬧鐘
CIC,中投公司
Active Calls,通話中
Call Alarms,通話警報
Report,報告
Triggered Value,觸發值
Period,期
Alarm Report,報警報告
Resolved,解決
Are you sure want to close selected alarm ?,您確定要關閉所選警報嗎？
Country Report,國家報告
Debits,借方
ASR : Answer Seizure Ratio,ASR：答案癲癇率
ACD : Average Call Duration,ACD：平均通話時間
MCD : Maximum Call Duration,MCD：最長通話時間
Custom Rates,自訂價格
Create Custom Rate,創建自定義費率
Edit Custom Rate,修改自定義費率
Registered SIP Devices,註冊的SIP設備
Switch Host,切換主機
Refresh Time,刷新時間
Sec.,秒
Min.,最小
User,用戶
Contact,聯繫
Client-IP,客戶端IP
Client Port,客戶端端口
User Agent,用戶代理
Registered Gateways,註冊網關
Call In,呼入
Call Out,大喊
Fail Call In,失敗呼叫
Fail Call Out,失敗呼出
State,州
Switch CLI,切換CLI
Freeswitch CLI,Freeswitch CLI
Live Call Graph,實時通話圖
--Select All--, - 全選 - 
Call Count,通話次數
Live Call data,實時通話數據
SMS Rate Group,短信費率組
SMS CDRs,短信話單
Auto Refill,自動充值
Refill Amount,充值金額
Occurrence Per Day,每天發生
Message From,訊息來自
Message To,留言給
SMS Type,短信類型
Profile Name,個人資料名稱
Edit Conference profiles,編輯會議資料
Ring-Group,環組
Failover Destination,故障轉移目的地
Timeout(min),超時（分鐘）
Create SMS Rate Group,創建短信費率組
SMS Rate Group Information,短信費率組信息
Markup(%),加價幅度（％）
SMS Origination Rate,短信發起率
Per SMS Cost,每條短信費用
SMS Trunk add,SMS中繼添加
SMS Trunk Information,SMS中繼信息
Trunk Settings,中繼線設置
Precedence,優先順序
Trunk Name,中繼名稱
Edit SMS Trunk,編輯短信中繼
Add SMS Termination Rates,添加短信終止率
Edit SMS Termination Rates,編輯短信終止率
Import SMS Termination Rates Using Field Mapper,使用字段映射器導入SMS終止率
Import SMS Termination Rates,導入短信終止率
SMS Trunk,短信中繼
Create SMS Gateway,創建短信網關
Base URL,基本網址
Api Key / Application Id,api密鑰/應用程序ID
Secret Key Id,秘鑰ID
Api Key,api鍵
Based On Utilized Free Minutes,根據使用的自由時間
Based On Utilized Highest Days/Free Minutes,根據使用的最高天數/空閒時間
ASR : Answer Seizure Ratio,ASR：答案癲癇率
ACD : Average Call Duration,ACD：平均通話時間
MCD : Maximum Call Duration,MCD：最長通話時間
Edit SMS Rate Group,編輯短信費率組
 (Enterprise),  （企業）
Edit SMS Gateway,編輯短信網關
Edit Department,編輯部
Edit Support Ticket,編輯支持票
SMS Package,短信套餐
Free SMS,免費短信
auto_reply_mail_support,自動回复郵件支持
email_sent_support_ticket,電子郵件已發送支持票
alarm_report,警報報告
two_factor_authentication,兩因素認證
schedule_report,進度報告
ported_number,移植號碼
ported_number_ftp_connect,端口號ftp連接
ported_number_no_file,移植號無文件
fraud_report,欺詐報告
outbound_fax_mail,出站傳真郵件
fax_receive_mail,傳真接收郵件
Format,格式
Fax Method,傳真方式
SIP Device,SIP設備
Web2fax,Web2傳真
Email2fax,Email2fax
Fax2Mail,傳真2郵件
Success,成功
File,文件
APFaxer,APFaxer
Fax send Retries,傳真發送重試
Fax Email Id,傳真電子郵件ID
Fax Email Password,傳真電子郵件密碼
Fax Server,傳真服務器
Fax Server SIP Port,傳真服務器SIP端口
Fax Email Host,傳真電子郵件主機
Create Fraud Detection,創建欺詐檢測
Filter by,過濾
Per Dst. Prefix,每Dst。 字首
Group By Dst. Prefix,按Dst分組。 字首
Per Country,每個國家
Group by Country,按國家分組
Time Period,時間段
Warning Threshold,警告閾值
15 minutes,15分鐘
30 minutes,30分鐘
1 Hour,1小時
3 Hours,3小時
6 Hours,6個小時
12 Hours,12小時
24 Hours,24小時
Warning Action,警告動作
None,沒有
Block Threshold,阻止閾值
Block Action,阻止動作
 (In Minutes),  （以分鐘為單位）
Time Period,時間段
Edit Fraud Detection,編輯欺詐檢測
Fraud Report,欺詐報告
Fraud Trigger,欺詐觸發
Alarm Value,報警值
warning,警告
block,塊
--Select Account Type--,-選擇帳戶類型-
Weekly,每週
Quarterly,季刊
Yearly,每年
SMS Reports,短信報告
SMS Summary,短信摘要
SMS Customer,短信客戶
SMS Reseller,短信經銷商
Customer SMS Report,客戶短信報告
Message Count,郵件數
Resellers SMS Report,轉銷商短信報告
Customer SMS Summary Report,客戶短信摘要報告
Total Message,總訊息
Send Message,發信息
Cancel Message,取消留言
Reseller SMS Summary Report,轉銷商短信摘要報告
Two-factor Authentication,兩因素驗證
Security,安全
Whmcs Secret Key,Whmcs秘鑰
Whmcs IV Key,Whmcs IV鍵
Two-factor Authentication,兩因素驗證
Currencies Update,貨幣更新
Call Activity Report,通話活動報告
Request A Number Port,請求號碼端口
Porting,移植
Generate,產生
Callerid,來電顯示
International Recharge,國際充值
Feature code updated successfully!,功能代碼已成功更新！
Number Porting,號碼移植
Number Porting Requests,號碼移植請求
Request a Number Port,請求號碼端口
Number / Number Range,編號/編號範圍
Date Submitted,提交日期
Requested Date,申請日期
Requested Time,要求時間
Actioned by,採取行動
Note for Customer,客戶須知
Accepted,公認
Rejected,拒絕了
In Progress,進行中
Completed,完全的
Cancelled,取消
Create Porting Request Number,創建移植請求號
Porting Request Number,移植請求號
Company Address,公司地址
Individual Number,個人編號
Start Number,起始號碼
Number Range,編號範圍
End Number,結束號碼
New Provider Name,新提供者名稱
Existing Provider Name,現有提供者名稱
Requested Port Date,要求的港口日期
Requested Port Time,要求的港口時間
Upload most recent phone bill,上載最近的電話帳單
Edit Porting Request,編輯移植請求
Telephone Number,電話號碼
File Download,檔案下載
Accept,接受
Reject,拒絕
Edit Porting Request Number,編輯移植請求號
Retired,退休的
porting_request,移植要求
Public IP,公共IP
Activity Report,活動報告
Push Status,推送狀態
Last DID Call Date,上次DID通話日期
Last Outbound Call Date,上次出站通話日期
Login Activity,登錄活動
Last DID Call From Date,最後DID通話開始日期
Last DID Call To Date,上次DID通話至今
Last Outbound Call From Date,最後撥出電話的日期
Last Outbound Call To Date,最後呼出電話的日期
Find Time(min),查找時間（分鐘）
Login Activity Report,登錄活動報告
Assorted,什錦的
Auto Refresh Page,自動刷新頁面
Ticket Digits,票號
Recording Number,記錄號
Hybrid Routing,混合路由
Opensips Public Host,Opensips公開主機
Ban Time(min),禁止時間（分鐘）
SMS Logs,短信日誌
Ported Number,移植號碼
FTP Details,FTP詳細信息
Admin Notification Email,管理員通知電子郵件
Term and Condition URL,條款和條件網址
Invoice Debug,發票調試
Wrong Attempts/Customer/Days,錯誤的嘗試/客戶/天數
(Fixed tax),（固定稅）
Assign Product,分配產品
Search by code,按代碼搜索
INVOICE HISTORY,發票歷史
PAYMENT HISTORY,支付歷史
Please Insert Amount,請輸入金額
Special Note,特別說明
Low Balance Threshold,低餘額閾值
No Balance Threshold,沒有餘額閾值
Max amount per call,每次通話的最大金額
Alert Type,警報類型
Heartbeat,心跳
Hangup,掛斷
Available Credit limit,可用信用額度
